favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
22,Twitter for iPhone,@mjpmccarthy bugger,mjpmccarthy,False,Sat Feb 11 04:53:53 +0000 2017,2,830278660590559233
0,Twitter for iPhone,@DouxDux @mjpmccarthy eheu,DouxDux,False,Sat Feb 11 12:55:56 +0000 2017,0,830399971878895616
1,Twitter for iPhone,@badasssurvivors @O530CarrisPT mine has 3 5s,badasssurvivors,False,Sat Feb 11 12:58:05 +0000 2017,0,830400514336628736
23,Twitter for iPhone,.@O530CarrisPT @badasssurvivors mine is N555LR though there was enough switching of tail numbers I had to pin jets down by serial number,O530CarrisPT,False,Sat Feb 11 12:59:43 +0000 2017,11,830400927274250240
37,Twitter for iPhone,.@O530CarrisPT @badasssurvivors my plane spotter and pilot patriot army are that thorough,O530CarrisPT,False,Sat Feb 11 13:00:18 +0000 2017,6,830401070958518272
75,Twitter for iPhone,I'd like to know how meticulous the stamping is when you fly regularly out of tiny airports on private jets run by… https://t.co/6gGedYLwJg,,False,Sat Feb 11 13:01:27 +0000 2017,30,830401363595116544
11,Twitter for iPhone,Forget about Prague as a location https://t.co/7ZVp3PnhK3,,False,Sat Feb 11 13:09:23 +0000 2017,6,830403359714705409
32,Twitter for iPhone,Concentrate on the substance of the alleged discussion. Nikulin was picked up in Prague. Location was low confidenc… https://t.co/voFwp9q8fs,,False,Sat Feb 11 13:10:25 +0000 2017,16,830403617144320000
21,Twitter for iPhone,"Marcus is blocked, Rogue Poopus Staff is FloorPooper Chuck. C Johnson ""reporting for doody"" https://t.co/SNG7CfBjOF",,False,Sat Feb 11 13:13:32 +0000 2017,11,830404401168805888
2,Twitter for iPhone,@StacyStrazis your profile is so happy. I got a sun tan and moved to LA just on reading it :),StacyStrazis,False,Sat Feb 11 13:15:09 +0000 2017,1,830404811015204865
227,Twitter for iPhone,There is zero likelihood that the readout was not in the intelligence briefings Pence was given https://t.co/YUvxe3dEvX,,False,Sat Feb 11 13:16:10 +0000 2017,159,830405067178143744
3,Twitter for iPhone,No!!!!! https://t.co/3wol3q8VhG,,False,Sat Feb 11 13:16:25 +0000 2017,4,830405129354489862
